Timestamp,Step,Train_Loss,Val_Loss,Gap,Live_Train_Loss,Train_Smoothed_Loss,Val_Smoothed_Loss,LR,TPS,Mem_GB,Eval_Batches,Best_Val_Raw_Loss
2026-07-15T09:19:13.228884,1850,1.516613,1.188228,-0.328386,2.698470,2.520731,2.219646,2.00000000e-05,275762,9.73,50,1.185209
2026-07-15T09:20:06.781063,1900,1.515974,1.188965,-0.327008,2.644577,2.520642,2.220470,2.00000000e-05,274923,9.73,50,1.185209
2026-07-15T09:21:00.346984,1950,1.516291,1.188733,-0.327558,2.671896,2.520753,2.220351,2.00000000e-05,274613,9.73,50,1.185209
2026-07-15T09:21:53.972753,2000,1.516863,1.189509,-0.327355,2.527751,2.520369,2.219904,2.00000000e-05,274956,9.73,50,1.185209
2026-07-15T09:22:47.672307,2050,1.516585,1.189020,-0.327565,2.681110,2.520719,2.220565,2.00000000e-05,275802,9.73,50,1.185209
2026-07-15T09:23:41.292690,2100,1.516159,1.189422,-0.326737,2.707457,2.520680,2.220521,2.00000000e-05,275772,9.73,50,1.185209
2026-07-15T09:24:34.943636,2150,1.517136,1.189345,-0.327790,2.648184,2.520970,2.220552,2.00000000e-05,275176,9.73,50,1.185209
2026-07-15T09:25:28.505264,2200,1.517015,1.189078,-0.327938,2.703465,2.520944,2.220299,2.00000000e-05,276570,9.73,50,1.185209
2026-07-15T09:26:22.165091,2250,1.516807,1.189300,-0.327507,2.608149,2.520629,2.220002,2.00000000e-05,275939,9.73,50,1.185209
2026-07-15T09:27:15.831275,2300,1.516856,1.188812,-0.328044,2.553750,2.520814,2.220110,2.00000000e-05,275326,9.73,50,1.185209
2026-07-15T09:28:09.346112,2350,1.516925,1.189324,-0.327601,2.730615,2.520666,2.219921,2.00000000e-05,275428,9.73,50,1.185209
2026-07-15T09:29:02.883756,2400,1.516244,1.188114,-0.328129,2.573426,2.520731,2.219727,2.00000000e-05,275920,9.73,50,1.185209
2026-07-15T09:29:56.489134,2450,1.515934,1.187895,-0.328038,2.594808,2.520667,2.220102,2.00000000e-05,276321,9.73,50,1.185209
